#
# Unicode mapping table for font TTYcraft.24x36.psf
#
0x000	U+0040
0x001	U+0021
0x002	U+0022
0x003	U+0023
0x004	U+0024
0x005	U+0025
0x006	U+0026
0x007	U+0027
0x008	U+0028
0x009	U+0029
0x00a	U+002a
0x00b	U+002b
0x00c	U+002c
0x00d	U+002d
0x00e	U+002e
0x00f	U+002f
0x010	U+0030
0x011	U+0031
0x012	U+0032
0x013	U+0033
0x014	U+0034
0x015	U+0035
0x016	U+0036
0x017	U+0037
0x018	U+0038
0x019	U+0039
0x01a	U+003a
0x01b	U+003b
0x01c	U+003c
0x01d	U+003d
0x01e	U+003e
0x01f   U+003f
0x020	U+0020
0x021	U+0041
0x022	U+0042
0x023	U+0043
0x024	U+0044
0x025	U+0045
0x026	U+0046
0x027	U+0047
0x028	U+0048
0x029	U+0049
0x02a	U+004a
0x02b	U+004b
0x02c	U+004c
0x02d	U+004d
0x02e	U+004e
0x02f	U+004f
0x030	U+0050
0x031	U+0051
0x032	U+0052
0x033	U+0053
0x034	U+0054
0x035	U+0055
0x036	U+0056
0x037	U+0057
0x038	U+0058
0x039	U+0059
0x03a	U+005a
0x03b	U+005b
0x03c	U+005c
0x03d	U+005d
0x03e	U+005e
0x03f	U+005f
0x040	U+0060
0x041	U+0061
0x042	U+0062
0x043	U+0063
0x044	U+0064
0x045	U+0065
0x046	U+0066
0x047	U+0067
0x048	U+0068
0x049	U+0069
0x04a	U+006a
0x04b	U+006b
0x04c	U+006c
0x04d	U+006d
0x04e	U+006e
0x04f	U+006f
0x050	U+0070
0x051	U+0071
0x052	U+0072
0x053	U+0073
0x054	U+0074
0x055	U+0075
0x056	U+0076
0x057	U+0077
0x058	U+0078
0x059	U+0079
0x05a	U+007a
0x05b	U+007b
0x05c	U+007c
0x05d	U+007d
0x05e	U+007e
0x05f	U+007f
0x060	U+2500
0x061	U+2502
0x062	U+250c
0x063	U+2510
0x064	U+2514
0x065	U+2518
0x066	U+251c
0x067	U+2524
0x068	U+252c
0x069	U+2534
0x06a	U+253c
0x06b	U+2588
0x06c	U+2591
0x06d	U+2592
0x06e	U+2593
0x06f	U+0001
